"id","jahr_an_anno","plz_npa","verbund_communaute_comunita","anzahl_nombre_quantita","flag","geo_point_2d"
"3613",2018,6354,"ZVV",3,3,"47.0175327956, 8.48693865148"
"3614",2018,6354,"Tarifverbund Zug",3,3,"47.0175327956, 8.48693865148"
"3615",2018,6356,"Passepartout",3,3,"47.0386693881, 8.48488010117"
"3616",2018,6373,"Libero",4,3,"46.9958385539, 8.43055530576"
"3617",2018,6375,"Passepartout",162,NA,"46.9515606409, 8.47270754483"
"3618",2018,6390,"Passepartout",48,NA,"46.815666248, 8.44300251479"
"3619",2018,6403,"Tarifverbund Zug",114,NA,"47.08024677, 8.4467801535"
"3620",2018,6403,"Passepartout",182,NA,"47.08024677, 8.4467801535"
"3621",2018,6404,"Passepartout",81,NA,"47.0576630229, 8.43240268705"
"3622",2018,6404,"Tarifverbund Schwyz",4,3,"47.0576630229, 8.43240268705"
"3623",2018,6414,"Z-Pass Schwyz/Zug",4,3,"47.0556840567, 8.53607486138"
"3624",2018,6414,"Arcobaleno",5,3,"47.0556840567, 8.53607486138"
"3625",2018,6415,"Tarifverbund Zug",60,NA,"47.0762529617, 8.52563406796"
"3626",2018,6415,"ZVV",3,3,"47.0762529617, 8.52563406796"
"3627",2018,6418,"Z-Pass Schwyz/Zug",4,3,"47.1033163742, 8.6818812067"
"3628",2018,6422,"Tarifverbund Schwyz",136,NA,"47.053041531, 8.61061700374"
"3629",2018,6430,"Passepartout",3,3,"47.0345918863, 8.66789392618"
"3630",2018,6431,"Tarifverbund Schwyz",4,3,""
"3631",2018,6432,"Tarifverbund Schwyz",47,NA,"47.0120602724, 8.69407059001"
"3632",2018,6442,"Z-Pass Schwyz/Zug",4,3,"46.9983329686, 8.52084628469"
"3633",2018,6443,"Tarifverbund Zug",3,3,"46.9760752674, 8.62226947886"
"3634",2018,6454,"ZVV",3,3,"46.9156307319, 8.64027234576"
"3635",2018,6461,"ZVV",3,3,"46.8879246569, 8.52645331035"
"3636",2018,6463,"Passepartout",3,3,"46.8867139311, 8.69086212209"
"3637",2018,6490,"ZVV",3,3,"46.6217986521, 8.63253528241"
"3638",2018,6512,"Arcobaleno",830,NA,"46.1745236174, 9.00575152247"
"3639",2018,6515,"Arcobaleno",46,NA,"46.1830700537, 8.94639075696"
"3640",2018,6515,"ZVV",3,3,"46.1830700537, 8.94639075696"
"3641",2018,6518,"Arcobaleno",50,NA,"46.2265116928, 8.99648702722"
"3642",2018,6523,"Arcobaleno",64,NA,"46.2501557739, 8.96781661063"
"3643",2018,6526,"Arcobaleno",23,NA,"46.2822433696, 8.94226256556"
"3644",2018,6528,"Arcobaleno",227,NA,"46.1589347157, 9.01307640234"
"3645",2018,6532,"Arcobaleno",105,NA,"46.2312697848, 9.04445941015"
"3646",2018,6532,"Passepartout",3,3,"46.2312697848, 9.04445941015"
"3647",2018,6546,"Arcobaleno",5,3,"46.3419382228, 9.1207235488"
"3648",2018,6549,"Tarifverbund Zug",3,3,"46.2120121296, 9.10586473874"
"3649",2018,6557,"Arcobaleno",45,NA,"46.2619600336, 9.20756462745"
"3650",2018,6563,"ZVV",3,3,"46.4038820773, 9.22729697849"
"3651",2018,6565,"Arcobaleno",20,NA,"46.4725608126, 9.18988456129"
"3652",2018,6575,"ZVV",3,3,"46.1376293841, 8.80378574472"
"3653",2018,6577,"Arcobaleno",5,3,"46.1164517782, 8.77728909012"
"3654",2018,6592,"ZVV",3,3,"46.1558363451, 8.97726127201"
"3655",2018,6593,"Arcobaleno",185,NA,"46.1532559208, 8.94999268981"
"3656",2018,6596,"Libero",4,3,"46.1762350105, 8.86607040233"
"3657",2018,6596,"Z-Pass A-Welle",4,3,"46.1762350105, 8.86607040233"
"3658",2018,6597,"Arcobaleno",43,NA,"46.181176977, 8.90913788113"
"3659",2018,6598,"Arcobaleno",305,NA,"46.1725258944, 8.84720561957"
"3660",2018,6605,"Libero",4,3,"46.185899536, 8.77991559225"
"3661",2018,6612,"ZVV",3,3,"46.1489691548, 8.77310151642"
"3662",2018,6613,"Arcobaleno",5,3,"46.1364889171, 8.73712587319"
"3663",2018,6614,"Passepartout",3,3,"46.1342302551, 8.73657734253"
"3664",2018,6614,"ZVV",3,3,"46.1342302551, 8.73657734253"
"3665",2018,6616,"Libero",4,3,"46.1703229173, 8.74310219058"
"3666",2018,6644,"Arcobaleno",89,NA,"46.1841875411, 8.79643672405"
"3667",2018,6648,"Libero",4,3,"46.1745309147, 8.82557474448"
"3668",2018,6653,"Onde Verte",2,3,"46.1945223509, 8.72913448917"
"3669",2018,6659,"Arcobaleno",5,3,"46.1566112618, 8.61089931736"
"3670",2018,6661,"Arcobaleno",27,NA,"46.2093971532, 8.65767819235"
"3671",2018,6663,"Arcobaleno",5,3,"46.203918796, 8.55713244844"
"3672",2018,6670,"Arcobaleno",61,NA,"46.2049621125, 8.7656698951"
"3673",2018,6672,"Arcobaleno",110,NA,"46.2337387454, 8.76761722196"
"3674",2018,6673,"Onde Verte",2,3,"46.2673585769, 8.73418254047"
"3675",2018,6676,"Arcobaleno",26,NA,"46.3434249247, 8.59509738533"
"3676",2018,6702,"Arcobaleno",179,NA,"46.2671137118, 9.03833905423"
"3677",2018,6705,"Arcobaleno",45,NA,"46.3039088115, 9.0335437164"
"3678",2018,6710,"Arcobaleno",368,NA,"46.3677267265, 9.02383902607"
"3679",2018,6718,"Libero",4,3,"46.5361228561, 8.87895627188"
"3680",2018,6722,"Arcobaleno",48,NA,"46.4376598285, 8.92677750815"
"3681",2018,6742,"Passepartout",3,3,"46.3721634406, 8.94686653866"
"3682",2018,6743,"ZVV",3,3,"46.3872426637, 8.92167350222"
"3683",2018,6746,"Arcobaleno",25,NA,"46.4548329954, 8.84738649736"
"3684",2018,6748,"Arcobaleno",5,3,"46.4424865817, 8.86904924413"
"3685",2018,6748,"ZVV",3,3,"46.4424865817, 8.86904924413"
"3686",2018,6763,"ZVV",3,3,"46.5050584729, 8.76933431986"
"3687",2018,6804,"ZVV",3,3,"46.1271102613, 8.93434176928"
"3688",2018,6807,"Arcobaleno",283,NA,"46.0735936234, 8.93722573672"
"3689",2018,6808,"Arcobaleno",117,NA,"46.0712628899, 8.90760333447"
"3690",2018,6809,"ZVV",3,3,"46.1234542215, 8.96134111943"
"3691",2018,6828,"ZVV",3,3,"45.8444256368, 9.00883421946"
"3692",2018,6833,"Arcobaleno",321,NA,"45.8482086048, 9.03758437509"
"3693",2018,6834,"Z-Pass A-Welle",4,3,"45.8508634303, 9.02262448504"
"3694",2018,6835,"ZVV",3,3,"45.8681412019, 9.04082057266"
"3695",2018,6835,"Libero",4,3,"45.8681412019, 9.04082057266"
"3696",2018,6850,"Arcobaleno",611,NA,"45.875955253, 8.98223773075"
"3697",2018,6850,"OSTWIND",5,3,"45.875955253, 8.98223773075"
"3698",2018,6853,"Arcobaleno",202,NA,"45.8642750305, 8.95571484784"
"3699",2018,6854,"Arcobaleno",135,NA,"45.8590890977, 8.93659963344"
"3700",2018,6862,"ZVV",3,3,"45.8766734781, 8.97162282068"
"3701",2018,6863,"OSTWIND",5,3,"45.8725583594, 8.95503540631"
"3702",2018,6863,"ZVV",3,3,"45.8725583594, 8.95503540631"
"3703",2018,6864,"Arcobaleno",138,NA,"45.8811801505, 8.94105340678"
"3704",2018,6875,"Arcobaleno",5,3,"45.8835377985, 9.02311621293"
"3705",2018,6883,"Arcobaleno",231,NA,"45.8440257323, 8.9796359765"
"3706",2018,6892,"Arcobaleno",5,3,""
"3707",2018,6924,"Libero",4,3,"46.000992466, 8.93666610333"
"3708",2018,6925,"ZVV",3,3,"45.992900015, 8.92733855074"
"3709",2018,6928,"ZVV",3,3,"46.0319622139, 8.92052462335"
"3710",2018,6932,"Arcobaleno",727,NA,"46.0102134371, 8.92858837648"
"3711",2018,6932,"ZVV",3,3,"46.0102134371, 8.92858837648"
"3712",2018,6933,"Arcobaleno",61,NA,"45.9984748988, 8.91762862508"
"3713",2018,6933,"ZVV",3,3,"45.9984748988, 8.91762862508"
"3714",2018,6934,"ZVV",3,3,"46.016348482, 8.91388761138"
"3715",2018,6935,"Tarifverbund Zug",3,3,"46.0313078106, 8.90663434665"
"3716",2018,6938,"Arcobaleno",33,NA,"46.0616729921, 8.87227283943"
"3717",2018,6939,"ZVV",3,3,"46.0609974849, 8.89464780872"
"3718",2018,6942,"Onde Verte",2,3,"46.020463402, 8.94587353512"
"3719",2018,6944,"Arcobaleno",152,NA,"46.0387580048, 8.94525134553"
"3720",2018,6946,"Arcobaleno",229,NA,"46.1237994671, 9.0548546147"
"3721",2018,6949,"Arcobaleno",325,NA,"46.0412524143, 8.95783691806"
"3722",2018,6958,"Arcobaleno",48,NA,"46.0807866479, 9.01207244553"
"3723",2018,6959,"Arcobaleno",33,NA,"46.0880606997, 9.04317843807"
"3724",2018,6960,"Arcobaleno",89,NA,"46.1035830262, 8.99316083167"
"3725",2018,6963,"Passepartout",3,3,"46.0240316777, 8.9764345734"
"3726",2018,6964,"Libero",4,3,"46.0337541125, 8.98739478168"
"3727",2018,6965,"ZVV",3,3,"46.0435457705, 8.99569423693"
"3728",2018,6966,"Arcobaleno",81,NA,"46.0532702956, 9.0065042716"
"3729",2018,6966,"ZVV",3,3,"46.0532702956, 9.0065042716"
"3730",2018,6974,"ZVV",3,3,"46.0105845812, 8.98094032304"
"3731",2018,6979,"ZVV",3,3,"46.0185899026, 9.00002949867"
"3732",2018,6981,"Arcobaleno",71,NA,"46.0239066997, 8.83021674989"
"3733",2018,6982,"Passepartout",3,3,"46.0018028209, 8.9038445373"
"3734",2018,6986,"Arcobaleno",172,NA,"46.0197549264, 8.84619495063"
"3735",2018,6988,"Arcobaleno",114,NA,"45.9718749329, 8.86043665101"
"3736",2018,6992,"ZVV",3,3,"46.0064670278, 8.89188698737"
"3737",2018,6995,"Arcobaleno",5,3,"45.9903089723, 8.83319581607"
"3738",2018,6997,"ZVV",3,3,"46.0045525017, 8.81355659804"
"3739",2018,7012,"Libero",4,3,"46.8576984071, 9.46372986282"
"3740",2018,7050,"ZVV",3,3,"46.7711575003, 9.66955004614"
"3741",2018,7062,"ZVV",3,3,"46.8224602173, 9.55855259946"
"3742",2018,7134,"ZVV",3,3,"46.7210555992, 9.07245414445"
"3743",2018,7144,"Z-Pass OSTWIND",4,3,"46.7226152668, 9.16020170785"
"3744",2018,7214,"ZVV",3,3,"46.9639944294, 9.6409535347"
"3745",2018,7233,"OSTWIND",5,3,"46.8994359309, 9.70480457111"
"3746",2018,7250,"Passepartout",3,3,"46.8487565179, 9.96620810473"
"3747",2018,7314,"OSTWIND",5,3,"46.9575553238, 9.49318704886"
"3748",2018,7315,"OSTWIND",5,3,"46.9144838283, 9.3862122791"
"3749",2018,7317,"ZVV",3,3,"46.9563943386, 9.46096326817"
"3750",2018,7320,"ZVV",3,3,"47.0569130295, 9.45013497346"
"3751",2018,7324,"OSTWIND Ausland",3,3,"47.022950959, 9.46015817071"
"3752",2018,7324,"Z-Pass OSTWIND",4,3,"47.022950959, 9.46015817071"
"3753",2018,7408,"ZVV",3,3,"46.7558815198, 9.42095585868"
"3754",2018,7451,"ZVV",3,3,"46.6796047497, 9.53932075857"
"3755",2018,7500,"ZVV",3,3,"46.4918328206, 9.81868999239"
"3756",2018,7502,"Arcobaleno",5,3,"46.5314986305, 9.73432751167"
"3757",2018,7551,"Tarifverbund Zug",3,3,"46.8271499396, 10.2293013581"
"3758",2018,7742,"Arcobaleno",5,3,"46.4100501813, 10.0787863995"
"3759",2018,7748,"ZVV",3,3,"46.2393662566, 10.0965046051"
"3760",2018,8001,"Z-Pass A-Welle",4,3,"47.3734521572, 8.54285195468"
"3761",2018,8001,"Z-Pass Schwyz/Zug",20,NA,"47.3734521572, 8.54285195468"
